epoch,accuracy,loss
0,0.8471666574478149,0.53598552942276
1,0.9261666536331177,0.25556159019470215
2,0.9424166679382324,0.19815663993358612
3,0.9514833092689514,0.16498392820358276
4,0.9571166634559631,0.14256563782691956
5,0.9623166918754578,0.12869806587696075
6,0.9659166932106018,0.11465034633874893
7,0.9695833325386047,0.10364560037851334
8,0.9713166952133179,0.09541372954845428
9,0.9739333391189575,0.08703532814979553
10,0.9755499958992004,0.08085422217845917
11,0.9763833284378052,0.07683892548084259
12,0.9779666662216187,0.07146130502223969
13,0.9790833592414856,0.06852579116821289
14,0.9796666502952576,0.06510496139526367
15,0.9813833236694336,0.0604635588824749
16,0.9816666841506958,0.05886402726173401
17,0.9821333289146423,0.055306702852249146
18,0.9832833409309387,0.05291188508272171
19,0.9838333129882812,0.04984162375330925
20,0.9845333099365234,0.04831951484084129
21,0.9852166771888733,0.046696070581674576
22,0.9855666756629944,0.04435577616095543
23,0.9861999750137329,0.04355712607502937
24,0.9876166582107544,0.04015141725540161
25,0.9869499802589417,0.04033837839961052
26,0.9873833060264587,0.0387287475168705
27,0.9883333444595337,0.037709105759859085
28,0.9882500171661377,0.03569689020514488
29,0.9889166951179504,0.03465614095330238
30,0.9884499907493591,0.034319426864385605
31,0.9892500042915344,0.03261572867631912
32,0.9894000291824341,0.031798552721738815
33,0.9900166392326355,0.030614763498306274
34,0.9906666874885559,0.02931704930961132
35,0.9898499846458435,0.029634086415171623
36,0.9908999800682068,0.02795727737247944
37,0.9914833307266235,0.026886822655797005
38,0.9916999936103821,0.02600003220140934
39,0.9915500283241272,0.02557726390659809
40,0.9921000003814697,0.02523520588874817
41,0.991183340549469,0.026036428287625313
42,0.9915833473205566,0.02466847561299801
43,0.9918666481971741,0.024519557133316994
44,0.9924166798591614,0.02339300327003002
